date,store_id,daily_sales,promotion_active,store_size,city_population,is_weekend,day_of_week,month,quarter,days_since_start
2021-01-01,store_001,13341.28,0,large,500000,0,4,1,1,0
2021-01-02,store_001,15922.0,0,large,500000,1,5,1,1,1
2021-01-03,store_001,15618.9,0,large,500000,1,6,1,1,2
2021-01-04,store_001,11085.69,0,large,500000,0,0,1,1,3
2021-01-05,store_001,10860.57,0,large,500000,0,1,1,1,4
2021-01-06,store_001,12598.6,0,large,500000,0,2,1,1,5
2021-01-07,store_001,10228.21,0,large,500000,0,3,1,1,6
2021-01-08,store_001,11898.68,0,large,500000,0,4,1,1,7
2021-01-09,store_001,15551.47,0,large,500000,1,5,1,1,8
2021-01-10,store_001,15006.99,0,large,500000,1,6,1,1,9
2021-01-11,store_001,14670.58,0,large,500000,0,0,1,1,10
2021-01-12,store_001,12200.66,0,large,500000,0,1,1,1,11
2021-01-13,store_001,12486.1,0,large,500000,0,2,1,1,12
2021-01-14,store_001,13165.14,0,large,500000,0,3,1,1,13
2021-01-15,store_001,10188.74,0,large,500000,0,4,1,1,14
2021-01-16,store_001,19635.94,0,large,500000,1,5,1,1,15
2021-01-17,store_001,12577.5,0,large,500000,1,6,1,1,16
2021-01-18,store_001,11125.76,0,large,500000,0,0,1,1,17
2021-01-19,store_001,11556.59,0,large,500000,0,1,1,1,18
2021-01-20,store_001,12881.95,0,large,500000,0,2,1,1,19
2021-01-21,store_001,12503.44,0,large,500000,0,3,1,1,20
2021-01-22,store_001,12093.55,0,large,500000,0,4,1,1,21
2021-01-23,store_001,17286.63,0,large,500000,1,5,1,1,22
2021-01-24,store_001,15696.2,0,large,500000,1,6,1,1,23
2021-01-25,store_001,10621.89,0,large,500000,0,0,1,1,24
2021-01-26,store_001,13470.76,0,large,500000,0,1,1,1,25
2021-01-27,store_001,13501.05,0,large,500000,0,2,1,1,26
2021-01-28,store_001,14703.99,0,large,500000,0,3,1,1,27
2021-01-29,store_001,11752.97,0,large,500000,0,4,1,1,28
2021-01-30,store_001,19206.62,0,large,500000,1,5,1,1,29
2021-01-31,store_001,17547.36,0,large,500000,1,6,1,1,30
2021-02-01,store_001,14514.21,0,large,500000,0,0,2,1,31
2021-02-02,store_001,14373.88,0,large,500000,0,1,2,1,32
2021-02-03,store_001,13389.68,0,large,500000,0,2,2,1,33
2021-02-04,store_001,12737.25,0,large,500000,0,3,2,1,34
2021-02-05,store_001,14531.66,0,large,500000,0,4,2,1,35
2021-02-06,store_001,19870.77,0,large,500000,1,5,2,1,36
2021-02-07,store_001,17482.35,0,large,500000,1,6,2,1,37
2021-02-08,store_001,11689.48,0,large,500000,0,0,2,1,38
2021-02-09,store_001,13163.04,0,large,500000,0,1,2,1,39
2021-02-10,store_001,15694.89,0,large,500000,0,2,2,1,40
2021-02-11,store_001,15276.55,0,large,500000,0,3,2,1,41
2021-02-12,store_001,12248.52,0,large,500000,0,4,2,1,42
2021-02-13,store_001,17135.74,0,large,500000,1,5,2,1,43
2021-02-14,store_001,21995.96,0,large,500000,1,6,2,1,44
2021-02-15,store_001,12421.18,0,large,500000,0,0,2,1,45
2021-02-16,store_001,14807.8,0,large,500000,0,1,2,1,46
2021-02-17,store_001,13295.36,0,large,500000,0,2,2,1,47
2021-02-18,store_001,16550.29,0,large,500000,0,3,2,1,48
2021-02-19,store_001,13221.51,0,large,500000,0,4,2,1,49
2021-02-20,store_001,22471.26,0,large,500000,1,5,2,1,50
2021-02-21,store_001,20651.14,0,large,500000,1,6,2,1,51
2021-02-22,store_001,14929.62,0,large,500000,0,0,2,1,52
2021-02-23,store_001,11756.93,0,large,500000,0,1,2,1,53
2021-02-24,store_001,11478.44,0,large,500000,0,2,2,1,54
2021-02-25,store_001,14474.74,0,large,500000,0,3,2,1,55
2021-02-26,store_001,15248.5,0,large,500000,0,4,2,1,56
2021-02-27,store_001,18588.68,0,large,500000,1,5,2,1,57
2021-02-28,store_001,18764.99,0,large,500000,1,6,2,1,58
2021-03-01,store_001,15970.16,0,large,500000,0,0,3,1,59
2021-03-02,store_001,16056.86,0,large,500000,0,1,3,1,60
2021-03-03,store_001,15070.85,0,large,500000,0,2,3,1,61
2021-03-04,store_001,16559.91,0,large,500000,0,3,3,1,62
2021-03-05,store_001,13628.29,0,large,500000,0,4,3,1,63
2021-03-06,store_001,20956.49,0,large,500000,1,5,3,1,64
2021-03-07,store_001,25440.98,0,large,500000,1,6,3,1,65
2021-03-08,store_001,15788.11,0,large,500000,0,0,3,1,66
2021-03-09,store_001,15959.65,0,large,500000,0,1,3,1,67
2021-03-10,store_001,19492.63,0,large,500000,0,2,3,1,68
